task_name,source,predicted_category,predicted_interfaces,required_information_type,likely_failure_under_fixed_action_space,manual_category,manual_interfaces,confidence,notes
craft_item:cooked_rabbit,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:glass_pane,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:magenta_stained_glass,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:polished_blackstone_bricks,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:yellow_stained_glass_pane,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
drop:cracked_polished_blackstone_bricks,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
drop:iron_ingot,CrossAgent/STRL/data_processor/task_suc_rate.json,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
use furnace,manual_representative_sample,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,recipe_or_prerequisite;inventory_or_tool_state;visual_target_localization,visual_prompt_insufficient_for_planning,smelting_or_cooking,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;dynamic_action_space_switching,high,Representative sample task is human-readable and directly supports the first-pass label.
craft_item:fermented_spider_eye,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
kill_entity:cat,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
kill_entity:donkey,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
kill_entity:ghast,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
kill_entity:magma_cube,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
kill_entity:piglin_brute,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
kill_entity:shulker,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
kill_entity:stray,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
kill_entity:witch,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Task prefix and target object support the first-pass category; trajectory details are still not checked.
mine_block:slime_block,CrossAgent/STRL/data_processor/task_suc_rate.json,combat,visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,visual_target_localization;low_level_reactive_control;navigation_or_exploration_state,dynamic_switching_needed,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:beacon,CrossAgent/STRL/data_processor/task_suc_rate.json,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;dynamic_action_space_switching,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:diamond_chestplate,CrossAgent/STRL/data_processor/task_suc_rate.json,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:diamond_sword,CrossAgent/STRL/data_processor/task_suc_rate.json,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;dynamic_action_space_switching,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
craft_item:netherite_helmet,CrossAgent/STRL/data_processor/task_suc_rate.json,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,crafting,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
drop:diamond,CrossAgent/STRL/data_processor/task_suc_rate.json,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
drop:diamond_hoe,CrossAgent/STRL/data_processor/task_suc_rate.json,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,tool_use_or_interaction,high_level_planning;memory_or_prerequisite_reasoning,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
mine_block:enchanting_table,CrossAgent/STRL/data_processor/task_suc_rate.json,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,mining,mid_level_skill_action;visual_grounding_or_mask_action;low_level_control,medium,First-pass label differs from the rule prediction because the task prefix suggests a more conservative category; needs trajectory-level review.
obtain iron ingot,manual_representative_sample,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,long_horizon_planning;recipe_or_prerequisite;inventory_or_tool_state;memory_or_failure_trace;mixed,dynamic_switching_needed,long_horizon_obtain,high_level_planning;memory_or_prerequisite_reasoning;mid_level_skill_action;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Representative sample task is human-readable and directly supports the first-pass label.
explore cave,manual_representative_sample,navigation_or_exploration,high_level_planning;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,navigation_or_exploration_state;visual_target_localization,low_level_sequence_too_long,navigation_or_exploration,high_level_planning;visual_grounding_or_mask_action;low_level_control;dynamic_action_space_switching,high,Representative sample task is human-readable and directly supports the first-pass label.
unknown,CrossAgent/STRL/data_processor/task_suc_rate.json,mixed_or_unknown,high_level_planning;memory_or_prerequisite_reasoning;dynamic_action_space_switching,mixed,mixed,mixed_or_unknown,high_level_planning;memory_or_prerequisite_reasoning,low,Task name alone is ambiguous; requires benchmark definition or trajectory trace.
